"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Mauritania","MRT","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.2089996337891","88.8830032348633","88.9189987182617","87.7040023803711","88.6179962158203","88.4820022583008","88.4580001831055","88.052001953125","87.6859970092773","87.8410034179688","87.5970001220703","87.7210006713867","87.3809967041016","86.3239974975586","85.4680023193359","86.484001159668","86.1999969482422","86.0139999389648","85.6510009765625","85.370002746582","85.2220001220703","84.1340026855469","84.1289978027344","83.9049987792969","84.1600036621094","84.3850021362305","84.0869979858398",
"Mauritania","MRT","Child employment in agriculture (% of economically active children ages 7-14)","SL.AGR.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Child employment in agriculture, male (% of male economically active children ages 7-14)","SL.AGR.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Child employment in agriculture, female (% of female economically active children ages 7-14)","SL.AGR.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","SI.SPR.PCAP.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44","","","",
"Mauritania","MRT","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.27","","","","","","5.74","","","",
"Mauritania","MRT","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","SI.SPR.PC40.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17","","","",
"Mauritania","MRT","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37","","","","","","2.86","","","",
"Mauritania","MRT","Average transaction cost of sending remittances from a specific country (%)","SI.RMT.COST.OB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5","","","","28.9","","","","20.8","","","","","","","","","",
"Mauritania","MRT","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","","","","7.6","","","","4.9","","","","","","","","","",
"Mauritania","MRT","Poverty gap at $5.50 a day (2011 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.4","","","","","","51.9","","38.2","","","","","35.5","","","","33.7","","","","27.4","","","","","","21.6","","","",
"Mauritania","MRT","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.8","","","","","","88.5","","78.9","","","","","74.6","","","","75","","","","64.7","","","","","","58.8","","","",
"Mauritania","MRT","Rural poverty headcount ratio at national poverty lines (% of rural population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.2","","","","59","","","","59.4","","","","","","","","","",
"Mauritania","MRT","Rural poverty gap at national poverty lines (%)","SI.POV.RUGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","20.6","","","","22.3","","","","","","","","","",
"Mauritania","MRT","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","","","46.7","","","","42","","","","","","31","","","",
"Mauritania","MRT","Poverty gap at national poverty lines (%)","SI.POV.NAGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","","","","15.3","","","","14.5","","","","","","","","","",
"Mauritania","MRT","Poverty gap at $3.20 a day (2011 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2","","","","","","31.3","","18.1","","","","","16.5","","","","13.8","","","","10.7","","","","","","6.7","","","",
"Mauritania","MRT","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7","","","","","","69.7","","49.7","","","","","45.5","","","","42.5","","","","34.4","","","","","","24.1","","","",
"Mauritania","MRT","GINI index (World Bank estimate)","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.9","","","","","","50.1","","37.7","","","","","39","","","","40.2","","","","35.7","","","","","","32.6","","","",
"Mauritania","MRT","Poverty gap at $1.90 a day (2011 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","","","","","","13.7","","6.1","","","","","5.3","","","","3.6","","","","2.7","","","","","","1.4","","","",
"Mauritania","MRT","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1","","","","","","41.2","","20.6","","","","","19.6","","","","14.4","","","","10.8","","","","","","6","","","",
"Mauritania","MRT","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","5.2","","6.4","","","","","6.2","","","","6.5","","","","6.7","","","","","","7.5","","","",
"Mauritania","MRT","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","","","2","","2.4","","","","","2.5","","","","2.6","","","","2.6","","","","","","3","","","",
"Mauritania","MRT","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","42.5","","28.7","","","","","29.5","","","","32.6","","","","26.2","","","","","","24.9","","","",
"Mauritania","MRT","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.6","","","","","","56.1","","44.5","","","","","45.7","","","","47.4","","","","42.4","","","","","","40.2","","","",
"Mauritania","MRT","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6","","","","","","18","","22.4","","","","","22.3","","","","20.6","","","","23.4","","","","","","23","","","",
"Mauritania","MRT","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","12.2","","15.7","","","","","15.2","","","","14.7","","","","16.3","","","","","","16.9","","","",
"Mauritania","MRT","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","","8.6","","11.1","","","","","10.6","","","","10.7","","","","11.3","","","","","","12.4","","","",
"Mauritania","MRT","Domestic private health expenditure per capita, PPP  (current international $)","SH.XPD.PVTD.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.00351339","82.14097065","82.41079681","83.344947","81.92181254","83.03957783","77.13726077","80.72201895","79.67281484","80.93199678","70.95083115","67.83444748","70.84716874","71.51189423","83.9204542","92.52411366","","",
