"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Somalia","SOM","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3","9","12","562","591","",
"Somalia","SOM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.43282495582579","","","","","4.96439874252696","","","","","5.28020693524877","","","","","4.30845694504272","","",
"Somalia","SOM","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46808160728612","","",
"Somalia","SOM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.16431925253901","","",
"Somalia","SOM","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500000","1500000","1459000","1350000","1100000","1107000","1223000","1107000","825000",
"Somalia","SOM","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","","5200","","28000","60000","36000","59000","70000","899000",
"Somalia","SOM","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400000","300000","100000","185000","80000","89000","90000","113000","388000",
"Somalia","SOM","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373","2650","8005","1154","25","237","104","440","","","25","","228","114","","0","","547","1575","1521","1477","2151","1937","2624","913","1113","1173","1925","1837",
"Somalia","SOM","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","73.06380906","78.97108746","48.60556114","55.65285052","22.95550051","46.9473754","43.94191375","53.68375496","62.02650195","39.07099315","77.72745645","47.15465691","61.14559907","60.62741603","70.47289385","88.07772021","96.89119171","91.70466321","102.0777202","98.96373057","100","147.6683938","153.8911917","115.5440415","93.2642487","129.5336788","150.2590674","181.3471503","217.6165803","225.388601","233.1606218","269.4300518","279.7927461","269.4300518","264.2487047","227.9792746","227.9792746","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","3.91304347826087","5.32319391634981","","0.3125","0.278551532033426","","1.82370820668693","","0.66711590296496","0.649850626751671","2.32892008294784","1.9216277317257","0.64492353049567","0.442041114115274","0.860762758309423","1.12104585788796","1.07022772833823","2.54066515129532","0.456089641322097","","0.334871934111684","0.334872140271004","0.216247133847443","0.35899814471243","0.889503543870126","0.358643774771709","0.951587222609215","0.221818395649","0.355611915590409","0.400936189329317","0.595972502243196","1.01627989657267","0.984963661454908","1.14392028692174","1.16879870379925","0.972200630086454","1.22418170964981","0.323938939484203","0.491119542806903","0.681170451385744","4.72510453466592","9.8338856023362","9.22773289252156","4.01004248552682","3.85147866287488","5.17641455581858","4.42107827496555","12.3058928024746","14.3931408468603","9.62514587548517","0.240206199312088","9.29158530145687","0.138855129158893","5.2148279086055","0.375025057959972","4.17471040172021","4.41510122756797","",
"Somalia","SOM","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","23000000","26300000","","32000000","35900000","","32900000","19100000","29680000","32469000","31345000","34502000","43416000","46602000","62038000","88578000","94279000","62031000","106558000","","132588000","152424146","199309000","107800000","63631000","108743000","80392000","140995069","126136662","120069730","150324553","98330293","129996674","121242539","151927701","172040518","192228162","157347246","126769543","116354871","124096154","84482984","126999634","167368526","171290836","214506081","332118051","187484869","197842266","261840603","355516220","490092245","478051480","639588431","607810852","683310775","646784876","",
"Somalia","SOM","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","39.5652173913043","36.8821292775665","","20","13.9275766016713","","13.0699088145897","-9.75206884414114E-15","65.0572776280323","13.5051895654316","16.5863774126655","17.7612892006261","15.5656900681776","22.5054718681602","27.3106805506303","22.5405856984804","8.28498393067385","5.93896600087053","0.362244036111789","","3.00102573385223","3.00102583484378","0.158547782588844","0.0157699443413729","0.0770064905470604","4.90882171725996","13.6667827644542","18.3146695718841","16.7527637603094","19.3453570687633","0.206205835183824","0.879373968711758","0.131719523839521","0.130576282306328","0.00921359298394175","0.0132526920199113","0.00933057873174691","0.0125391454261615","0.0177432208618122","0.0217025722971237","0.00304119014034875","0.014530736745757","0.029779613380624","0","0.0382151208602893","0.0121637577258241","0","0","0.0211911240442424","0.00995452947379593","0.00650153177258482","0.00460913230732716","0.00473338143415015","0.00349443468904713","0.00384922380425021","0.00343650369043281","0.0066992908473636","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","3.91304347826087","5.32319391634981","","0.3125","0.278551532033426","","1.82370820668693","","0.66711590296496","0.649850626751671","2.32892008294784","1.9216277317257","0.64492353049567","0.442041114115274","0.860762758309423","1.12104585788796","1.07022772833823","2.54066515129532","0.456089641322097","","0.334871934111684","0.334872140271004","0.216247133847443","0.35899814471243","0.889503543870126","0.358643774771709","0.951587222609215","0.221818395649","0.355611915590409","0.400936189329317","0.595972502243196","1.01627989657267","0.984963661454908","1.14392028692174","1.16879870379925","0.972200630086454","1.22418170964981","0.323938939484203","0.491119542806903","0.681170451385744","4.72510453466592","9.8338856023362","9.22773289252156","4.01004248552682","3.85147866287488","5.17641455581858","4.42107827496555","12.3058928024746","14.3931408468603","9.62514587548517","0.240206199312088","9.29158530145687","0.138855129158893","5.2148279086055","0.375025057959972","4.17471040172021","4.41510122756797","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","0.0370619946091644","","","","0.0575824580799705","0.00214583065104502","","","0.0233349950678306","0.0467508181393174","0.0159537528857524","","0.163664886716747","0.163665014071983","0.0486681484529048","0.0287569573283859","0.0172871713472993","0.0193115878723228","0.0908050552293761","0.0430390937997981","0.0388832233407286","0.559150087203494","1.07380595370871","0.793516398857878","1.8780265101244","1.24654680812978","1.7556094000264","1.28186431059223","5.85542455532608","0.900032911920174","3.02660710861756","0.967381073371651","2.12845758298037","6.51744734774046","18.3068496087162","8.17175864953247","5.79994775669143","6.60144501917407","5.86086722519036","8.60559686019249","10.2354205748937","3.13242251431876","3.3545476490496","2.40563080119744","2.66505293530312","6.74159676912605","9.08820775710665","3.24079069293178","3.53633779154725","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","0.434782608695652","1.90114068441065","","7.5","10.0278551532033","","3.3434650455927","8.90052356020942","2.12264150943396","0.344944408512735","0.682724517466901","2.84331343110544","3.28450340888152","2.14797648169606","0.465843515264838","1.71600171600172","1.56450535113864","0.440102529380471","0.276844535370409","","4.64597097776571","4.64597059313686","0.121921237876865","0.165120593692022","7.70222061573761","3.85771957735211","1.43546621554384","2.51115519507991","0.597290262842059","0.412726005130519","18.9012243395794","30.6940710529562","35.0206382972537","33.5281596173106","17.6624913188149","12.8533157520486","18.1678608569331","9.85705272528253","26.1865541315393","28.7693327424169","17.7376310953198","5.57753499805357","16.7700499042383","16.9273678134681","19.744102364005","25.8944043642287","20.3166915489336","38.1533311896226","24.982669274522","18.0967747007518","13.5478257503976","9.85880627431679","11.8418208850645","7.85080163527848","5.03129845401312","5.05068385611218","5.18418399133996","",
"Somalia","SOM","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","0.0031820447819769","","","","","","0.000501733489205204","0.00927643784786642","","","","0.00586758108540661","0.0283351401831135","0.00349380314255725","0.00274007134416691","0.00321874358698392","0.0349662792141897","0.00871971181665867","0.0157969875421204","","0.00584877880692632","","0.00212117196005037","0.00215719374567482","0.0516051448298712","0.0765988568774986","0.00941026333981403","0.032915388165634","0.135836805653748","0.0789394870348687","0.00574494519119047","0.157563648509683","0.0500494671851363","0.0661620077310928","0.144564993405927","0.0185281446353023","0.654505452006968","0.392931122295425","0.0231315382963909","0.0099509626494621","0.00836522343172415","",
