"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"South Sudan","SSD","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.704806313020753","10.2329466709699","3.46052580632671","",
"South Sudan","SSD","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38000000","539000000","143000000","",
"South Sudan","SSD","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38000000","27000000","10000000","",
"South Sudan","SSD","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800000","17000000","23000000","",
"South Sudan","SSD","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","133000000","",
"South Sudan","SSD","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","500000","",
"South Sudan","SSD","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0211112619185944","1.40154169586545","1.79673224102207","",
"South Sudan","SSD","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800000","22000000","23500000","",
"South Sudan","SSD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","","","","","","","",
"South Sudan","SSD","Urban population (% of total)","SP.URB.TOTL.IN.ZS","8.748","8.737","8.725","8.714","8.702","8.69","8.679","8.667","8.656","8.645","8.633","8.622","8.61","8.599","8.587","8.576","8.565","8.553","8.542","8.531","8.519","8.508","8.497","8.708","9.261","9.844","10.461","11.111","11.797","12.517","13.276","14.074","14.912","15.626","15.749","15.873","15.997","16.123","16.249","16.376","16.504","16.632","16.761","16.891","17.023","17.154","17.287","17.42","17.555","17.701","17.86","18.032","18.217","18.415","18.626","18.852","19.092","19.346",
"South Sudan","SSD","Urban population","SP.URB.TOTL","258517","263081","267850","272884","278126","283610","289374","295354","301622","308148","314907","321982","329312","336988","344946","353283","361831","370541","379762","389817","400838","412972","425846","450252","492649","536540","582212","629558","677293","723169","765824","802975","835044","858010","855444","866589","894411","937392","991176","1049024","1105876","1159989","1213040","1267102","1325693","1390997","1463889","1542855","1626144","1711805","1798000","1884138","1970762","2058335","2147759","2240020","2335091","2432898",
"South Sudan","SSD","Urban population growth (annual %)","SP.URB.GROW","1.6753554772123","1.75005137417231","1.79651527759102","1.8619674133917","1.90274519587726","1.95258065475501","2.01199141437764","2.04546678043166","2.09999408552754","2.14056092710015","2.16971700974695","2.22182862217439","2.25099862928888","2.30416917560843","2.33405616316581","2.38815524190228","2.39078165278188","2.3786847893926","2.45806408310989","2.61326575179639","2.78799574244229","2.98224383968925","3.06979845116581","5.57296474586523","8.9989526904916","8.53441636796356","8.16935259653984","7.81833432836169","7.30859851567141","6.5538972101826","5.73094352125252","4.73712018842887","3.91608378615211","2.71313363583765","-0.299512203799619","1.29441835474478","3.16005851318198","4.69361501355666","5.57905657381947","5.6723370120164","5.27775729975778","4.77727412323553","4.47190831958559","4.36027977183201","4.52029383505468","4.80854146377837","5.10758367753347","5.25380031924753","5.25769719049366","5.13368012731371","4.91265666863475","4.67954858298525","4.49498481124525","4.3477133570469","4.25275693968937","4.20598214394212","4.1566068125689","4.10322768471911",
"South Sudan","SSD","Rural population (% of total population)","SP.RUR.TOTL.ZS","91.252","91.263","91.275","91.286","91.298","91.31","91.321","91.333","91.344","91.355","91.367","91.378","91.39","91.401","91.413","91.424","91.435","91.447","91.458","91.469","91.481","91.492","91.503","91.292","90.739","90.156","89.539","88.889","88.203","87.483","86.724","85.926","85.088","84.374","84.251","84.127","84.003","83.877","83.751","83.624","83.496","83.368","83.239","83.109","82.977","82.846","82.713","82.58","82.445","82.299","82.14","81.968","81.783","81.585","81.374","81.148","80.908","80.654",
"South Sudan","SSD","Rural population growth (annual %)","SP.RUR.TOTL.ZG","1.82525551910275","1.88792279930852","1.94720041681303","2.00015995408587","2.05364638414758","2.10387014618928","2.15081043873788","2.19681114090287","2.23885313337053","2.27993585471615","2.32165894968061","2.36130141360483","2.40357170058657","2.44407552458126","2.48687248519964","2.5282984254907","2.53113159308917","2.53189341395189","2.5990618182124","2.7541528353289","2.94175191321227","3.12349405526841","3.21125740937132","2.88916105051523","2.23432419189583","1.78477978732644","1.40342764821966","1.06164231253781","0.542986397543034","-0.190012757956358","-1.0275932509076","-2.02436782220575","-2.84762257532585","-2.80651661638323","-1.22946008865576","0.362866437860637","2.23426085515023","3.75903533834933","4.65030420893655","4.74200803212672","4.34597711789928","3.85126943094737","3.54439518789185","3.43141329883479","3.58281875072908","3.88396417188269","4.17463351185675","4.32638361838546","4.32210085000229","4.12822164377813","3.82507769113708","3.51145215755058","3.24831578336615","3.02426651526018","2.85449888208789","2.72184515043418","2.59535684291002","2.46715166005596",
"South Sudan","SSD","Rural population","SP.RUR.TOTL","2696635","2748029","2802063","2858673","2917987","2980028","3044817","3112446","3182915","3256317","3332802","3412436","3495450","3581934","3672129","3766155","3862698","3961746","4066064","4179606","4304386","4440955","4585880","4720306","4826960","4913884","4983333","5036520","5063942","5054329","5002657","4902403","4764770","4632905","4576294","4592930","4696703","4876614","5108747","5356840","5594780","5814453","6024236","6234540","6461962","6717880","7004263","7313945","7636992","7958862","8269192","8564719","8847496","9119155","9383212","9642116","9895639","10142816",
"South Sudan","SSD","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","","","","","","","",
"South Sudan","SSD","Completeness of birth registration, urban (%)","SP.REG.BRTH.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","","","","",
"South Sudan","SSD","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","","","","","","","",
"South Sudan","SSD","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.9","","","","","","","",
"South Sudan","SSD","Completeness of birth registration, female (%)","SP.REG.BRTH.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","","","",
