"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Iran, Islamic Rep.","IRN","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.31348","11.47392","11.41254","12.59518","13.72238","13.72441","14.12122","13.8651","15.81171","","","","",
"Iran, Islamic Rep.","IRN","Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure","SH.UHC.OOPC.10.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7967000","8173000","8221000","9175000","10100000","10200000","10700000","10600000","12200000","","","","",
"Iran, Islamic Rep.","IRN","Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9612434","0.9910436","0.5570904","0.4868812","0.4973435","0.3360548","0.2151818","0.1510922","0.1672911","","","","",
"Iran, Islamic Rep.","IRN","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP2.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25564","0.26147","0.15563","0.10865","0.14008","0.08629","0.03888","0.02989","0.03046","","","","",
"Iran, Islamic Rep.","IRN","Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP2.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","677000","706000","401000","355000","366000","251000","162000","116000","130000","","","","",
"Iran, Islamic Rep.","IRN","Increase in poverty gap at $3.10 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0079247","0.0081055","0.0048246","0.0033681","0.0043426","0.002675","0.0012052","0.0009265","0.0009442","","","","",
"Iran, Islamic Rep.","IRN","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2919393","0.2337088","0.1131495","0.097791","0.1361773","0.0744075","0.0332204","0.0058745","0.0116027","","","","",
"Iran, Islamic Rep.","IRN","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line)","SH.UHC.NOP1.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05585","0.04536","0.0284","0.0188","0.02713","0.01489","0.00525","0.0019","0.00469","","","","",
"Iran, Islamic Rep.","IRN","Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure","SH.UHC.NOP1.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206000","166000","82000","71000","100000","55000","25000","4000","9000","","","","",
"Iran, Islamic Rep.","IRN","Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP1.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0010612","0.0008618","0.0005397","0.0003571","0.0005156","0.0002828","9.97E-05","3.62E-05","8.92E-05","","","","",
