"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Lebanon","LBN","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","121.3623823","109.9825531","114.1074041","134.1642467","119.4093683","110.8430159","129.520265","155.0439225","167.9193327","171.6981817","164.4230871","175.9677627","181.0570202","176.1822069","176.9707979","190.5282985","",
"Lebanon","LBN","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5473582661543","100.147215387118","106.500461444361","96.2822107359891","85.8648939726958","69.977679658586","66.7039822130668","69.0685316619757","62.7820566377175","51.4669134020619","44.8305198057287","39.5835644129199","40.2366929285165","48.0063423159319","40.7158665835412","45.4515606936416","56.348717948718","56.2300177619894","57.170118388216","64.3891700404858","72.5621706599592","58.5194094934398","61.1171998812961","65.9103073161069","62.8240286022786","59.0984308260307","55.0709768274865","46.6615820520348","47.468085655988","46.5530117597596",
"Lebanon","LBN","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2984961522456","24.967663904469","21.7019922424527","21.1580494680142","21.3059734331359","18.2502649371827","14.8226380009223","16.7407935885124","16.1076165271347","14.374389567895","14.0786170463417","14.0827962831048","15.63336031879","16.7931426946956","16.9477990350151","",
"Lebanon","LBN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2683000000","3319000000","3719000000","3565000000","3783000000","3914000000","4297000000","4928000000","4868000000","4440000000","4511000000","4692000000","5198000000","5187000000","5252000000","",
"Lebanon","LBN","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2683000000","2943000000","3170000000","2908000000","3006000000","3114000000","3564000000","4012000000","4515000000","4004000000","4199000000","4388000000","4995000000","4741000000","5040000000","",
"Lebanon","LBN","International tourism, receipts for travel items (current US$)","ST.INT.TVLR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4284000000","6374000000","5411000000","5532000000","4981000000","5216000000","5819000000","6774000000","7861000000","6545000000","6836000000","6492000000","6523000000","6857000000","6824000000","",
"Lebanon","LBN","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","376000000","549000000","657000000","777000000","800000000","733000000","916000000","353000000","436000000","312000000","304000000","203000000","446000000","212000000","",
"Lebanon","LBN","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408000000","520000000","437000000","476000000","580000000","498000000","383000000","165000000","252000000","525000000","540000000","312000000","230000000","329000000","",
"Lebanon","LBN","International tourism, receipts (% of total exports)","ST.INT.RCPT.XP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7587596618295","60.2098476687325","50.1231146176917","45.1339004803129","37.6692297072139","35.4869909144409","28.5977068591733","33.9241730844647","38.7189789490194","29.0755055228726","36.5588373578013","35.2043629186112","36.2570893047441","36.4159582262335","37.8822625513132","",
"Lebanon","LBN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710000000","715000000","1000000000","1221000000","673000000","742000000","837000000","4284000000","6782000000","5931000000","5969000000","5457000000","5796000000","6317000000","7157000000","8026000000","6797000000","7361000000","7032000000","6835000000","7087000000","7153000000","",
